campaign_id,campaign_name,channel,start_date,end_date,budget,target_segment
1,Phased bifurcated middleware Campaign,TV,2025-04-17,2025-05-23,10896.52,Premium
2,Robust asynchronous standardization Campaign,Google Ads,2024-09-28,2024-12-02,59552.4,Premium
3,Optimized incremental moratorium Campaign,Social Media,2024-10-13,2024-11-19,33769.67,All
4,Balanced mobile emulation Campaign,Google Ads,2025-05-31,2025-08-21,99962.14,All
5,Universal bifurcated success Campaign,Email,2025-07-25,2025-09-11,68677.22,Budget
6,Balanced 4thgeneration artificial intelligence Campaign,TV,2025-07-30,2025-08-26,75316.2,Budget
7,Organized non-volatile leverage Campaign,Radio,2024-08-26,2024-11-19,21430.74,Regular
8,Phased impactful info-mediaries Campaign,Google Ads,2024-10-21,2024-11-19,57681.98,Regular
9,Synchronized 6thgeneration application Campaign,Email,2025-01-04,2025-01-18,61893.88,Regular
10,Enhanced cohesive access Campaign,Google Ads,2024-11-25,2025-02-13,61885.14,All
11,Assimilated secondary encryption Campaign,Radio,2025-06-28,2025-07-19,66614.04,Regular
12,Team-oriented tangible Internet solution Campaign,TV,2025-04-25,2025-05-07,16794.63,All
13,Integrated zero administration capacity Campaign,Radio,2025-07-01,2025-07-12,19467.32,Regular
14,Extended multimedia concept Campaign,Google Ads,2024-08-27,2024-10-12,50194.11,All
15,Devolved dynamic Graphical User Interface Campaign,TV,2025-03-29,2025-06-07,76727.99,All
16,Intuitive contextually-based circuit Campaign,Social Media,2024-11-23,2025-02-16,54465.97,All
17,Assimilated real-time function Campaign,Social Media,2024-09-27,2024-11-06,58787.52,Regular
18,Cross-platform composite firmware Campaign,Social Media,2024-09-16,2024-10-11,50463.65,All
19,Mandatory solution-oriented strategy Campaign,Social Media,2025-07-26,2025-09-03,18813.87,All
20,Open-architected contextually-based productivity Campaign,Radio,2024-10-29,2025-01-13,13459.87,Premium
